Entity,Code ISO3,Year,Status of net-zero carbon emissions targets,by_2050_law,other
Ukraine,UKR,2060,In policy document,FALSE,TRUE
United Arab Emirates,ARE,2050,In policy document,FALSE,TRUE
United Kingdom,GBR,2050,In law,TRUE,TRUE
United States of America,USA,2050,In law,TRUE,TRUE
Uruguay,URY,2050,In policy document,FALSE,TRUE
Uzbekistan,UZB,2030,In policy document,FALSE,TRUE
Vanuatu,VUT,2050,In policy document,FALSE,TRUE
Venezuela,VEN,2030,In policy document,FALSE,TRUE
Vietnam,VNM,2050,In policy document,FALSE,TRUE
Yemen,YEM,2050,Proposed / in discussion,FALSE,TRUE
Zambia,ZMB,2050,Proposed / in discussion,FALSE,TRUE
Zimbabwe,ZWE,2030,Declaration / pledge,FALSE,TRUE
